company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
Chptr,,AI,Series A,funding,"Chptr Raises $5.5M Series A to Build the Infrastructure for Timely, Hyperlocal Media Distribution Across TV, Radio, and Digital",,$5.5M,2026-06-11,,,finance.yahoo.com,https://finance.yahoo.com/sectors/technology/articles/chptr-raises-5-5m-series-151300036.html,Raised a $5.5M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
Sports-tech startup Dartle,,AI,Seed,funding,Sports-tech startup Dartle raises $100K in seed funding led by IPV,,$1M,2026-06-11,,,entrackr.com,https://entrackr.com/snippets/sports-tech-startup-dartle-raises-100k-in-seed-funding-led-by-ipv-12026482,Raised a $1M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
Deeptech robotics startup Armatrix in talks to,,AI,Pre-Seed,funding,Deeptech robotics startup Armatrix in talks to raise $15 million from Crane Venture Partners,,$15M,2026-06-01,IST Armatrix,founder,moneycontrol.com,https://www.moneycontrol.com/news/business/funding/deeptech-robotics-startup-armatrix-in-talks-to-raise-15-million-from-crane-venture-partners-13938040.html,Raised a $15M Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-06-13,Low
Rotomate,,AI,Pre-Seed,funding,Rotomate raises €2.1M pre-seed to put a reliability engineer inside every factory,,,2026-06-10,said Mikko Kuusisto,co-founder,thenextweb.com,https://thenextweb.com/news/rotomate-pre-seed-funding-industrial-ai,Announced a Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-06-13,Low
Artus AI,,AI,Pre-Seed,funding,Artus AI Raises Pre-Seed Funding to Scale AI Product Management Platform,,,2026-06-11,said Yash Vahi,Co-Founder,ciol.com,https://www.ciol.com/funding-acquistion-merger/artus-ai-raises-pre-seed-funding-to-scale-ai-product-management-platform-12029338,Announced a Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-06-13,Low
Pylon,,,Seed,hiring,Hiring: Content Marketer | Location: San Francisco / Remote (US) | YC W23,Content Marketer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/77886,Hiring a Content Marketer. This suggests investment in content and market education.,60,2026-06-13,Low
adyn,,,Series A,hiring,Hiring: Content Marketer | Location: Remote (US) | YC S20,Content Marketer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/42208,Hiring a Content Marketer. This suggests investment in content and market education.,60,2026-06-13,Low
Mintlify,,,Series A,hiring,Hiring: Product Marketing Manager | Location: San Francisco | YC W22,Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/94849 | https://www.workatastartup.com/jobs/94845,Hiring a Marketing Manager. This suggests investment in content and market education.,60,2026-06-13,Low
Jiga,,,Series A,hiring,Hiring: Content Lead - Remote (US) | Location: US / Remote (US) | YC W21,Content Lead,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/88547,Hiring a Content Lead. This suggests investment in content and market education.,60,2026-06-13,Low
Willow,,,Seed,hiring,"Hiring: Founding Growth & Content Lead | Location: San Francisco, CA, US | YC P25",Content Lead,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/89466,Hiring a Content Lead. This suggests investment in content and market education.,60,2026-06-13,Low
Reframe (Glucobit),,,Series A,hiring,"Hiring: Marketing Manager  | Location: GA, US | YC S21",Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/46460,Hiring a Marketing Manager. This suggests investment in content and market education.,60,2026-06-13,Low
Bree,,,Series A,hiring,"Hiring: Creative Strategist | Location: Toronto, ON, CA / Toronto, Ontario, CA / Remote (Toronto, ON, CA; Toronto, Ontario, CA) | YC S21",Creative Strategist,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/85886,Hiring a Creative Strategist. This suggests investment in content and market education.,60,2026-06-13,Low
Solo,,,Series A,hiring,Hiring: Growth Marketing Manager | Location: US / Remote (US) | YC W21,Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/64685 | https://www.workatastartup.com/jobs/74338,Hiring a Marketing Manager. This suggests investment in content and market education.,60,2026-06-13,Low
Blaxel,,,Seed,hiring,"Hiring: Head of Marketing | Location: San Francisco, CA, US | YC P25",Head Of Marketing,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/86027,Hiring a Head Of Marketing. This suggests investment in content and market education.,60,2026-06-13,Low
GoSats,,,Series A,hiring,"Hiring: CRM & Lifecycle Marketing Manager | Location: Bengaluru, KA, IN / Bengaluru, Karnataka, IN | YC W22",Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/93245 | https://www.workatastartup.com/jobs/82296,Hiring a Marketing Manager. This suggests investment in content and market education.,60,2026-06-13,Low
Hyperbound,,,Seed,hiring,Hiring: Product Marketing Manager | Location: San Francisco | YC S23,Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/95763,Hiring a Marketing Manager. This suggests investment in content and market education.,60,2026-06-13,Low
Archbee,,,Series A,hiring,"Hiring: Head of Marketing | Location: TX, US / Remote (TX, US) | YC S21",Head Of Marketing,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/89348,Hiring a Head Of Marketing. This suggests investment in content and market education.,60,2026-06-13,Low
Arketa,,,Series A,hiring,"Hiring: Director, Brand Marketing | Location: New York City | YC S20",Brand Marketing,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/86128,Hiring a Brand Marketing. This suggests investment in content and market education.,60,2026-06-13,Low
Coinrule,,,Series A,hiring,"Hiring: Digital Marketing Manager | Location: London, England, GB / Remote | YC S21",Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/60727,Hiring a Marketing Manager. This suggests investment in content and market education.,60,2026-06-13,Low
SaaS Capital,,AI,,funding,SaaS Capital Raises $100 Million Fifth Fund to Support B2B SaaS and Subscription AI Application Companies,,$100M,2025-10-15,align with,founder,finance.yahoo.com,https://finance.yahoo.com/news/saas-capital-raises-100-million-111000769.html,Raised $100M in funding for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-06-13,Low
Cyera,,AI,,funding,Cyera raises $600M at $12B valuation amid flurry of cybersecurity investments,,$600M,2026-06-11,Chief Executive Officer George Kurtz and the,founder,siliconangle.com,https://siliconangle.com/2026/06/10/cyera-raises-600m-12b-valuation-amid-flurry-cybersecurity-investments/,Raised $600M in funding for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-06-13,Low
,,Data,,hiring,Hiring: Creative Strategist,Creative Strategist,,,,,betakit.com,https://betakit.com/motion-closes-30-million-usd-series-b-in-bid-to-become-command-centre-for-creative-strategists/,Hiring a Creative Strategist at a Data company. This suggests investment in content and market education.,50,2026-06-13,Low
Flare,,Cybersecurity,Series B,funding,Flare raises another $30 million USD to fuel global cybersecurity expansion and acquisition plans,,$30M,2025-11-04,Norman Menz told BetaKit,,betakit.com,https://betakit.com/flare-raises-another-30-million-usd-to-fuel-global-cybersecurity-expansion-and-acquisition-plans/,Raised a $30M Series B round for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,50,2026-06-13,Low
Inherent,,AI,,funding,Inherent Raises $50M to Build AI-Native Science Platform,,$50M,2026-06-01,,,ventureburn.com,https://ventureburn.com/inherent-raises-50m-to-build-ai-native-science-platform/,Raised $50M in funding for a AI platform. This signals active growth and potential need for content and marketing.,50,2026-06-13,Low
Egyptian POS financing fintech Blnk,,Fintech,,funding,Egyptian POS financing fintech Blnk raises $37 million,,$37M,2026-06-08,,,finextra.com,https://www.finextra.com/newsarticle/47876/egyptian-pos-financing-fintech-blnk-raises-37-million,Raised $37M in funding for a Fintech platform. This signals active growth and potential need for content and marketing.,50,2026-06-13,Low
Minerva,,API,,funding,Minerva Raises $20M to Transform Marketing Technology,,$20M,2026-06-10,,,ventureburn.com,https://ventureburn.com/minerva-raises-20m-to-transform-marketing-technology/,Raised $20M in funding for a API platform. This signals active growth and potential need for content and marketing.,50,2026-06-13,Low
Israeli startup Aryon Security,,Cybersecurity,,funding,Israeli startup Aryon Security raises $25M,,$25M,2026-06-11,,,msn.com,https://www.msn.com/en-us/money/news/israeli-startup-aryon-security-raises-25m/ar-AA25msIg,Raised $25M in funding for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,50,2026-06-13,Low
Equal AI,,AI,Series B,funding,Equal AI raises $30M to screen calls so Indians don’t have to,,$30M,2026-06-12,Skyflow AI,co-founder,TechCrunch,https://techcrunch.com/2026/06/11/equal-ai-raises-30m-to-screen-calls-so-indians-dont-have-to/,Raised a $30M Series B round for a AI platform. This signals active growth and potential need for content and marketing.,50,2026-06-13,Low
Kalshi,,Cybersecurity,Series B+,hiring,Hiring: Social Media Manager | Location: New York or Remote / Remote (US) | YC W19,Social Media Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/62300,Hiring a Social Media Manager at a Series B+ Cybersecurity company. This suggests investment in content and market education.,40,2026-06-13,Low
MDalgorithms Inc.,,AI,Series B+,hiring,Hiring: Growth Marketer for a Rapidly Growing Consumer AI Healthcare Startup 🚀 | Location: GB / US / Remote (GB; US) | YC W17,Growth Marketer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/93109,Hiring a Growth Marketer at a Series B+ AI company. This suggests investment in content and market education.,40,2026-06-13,Low
Speak,,AI,Series B+,hiring,"Hiring: Japan Growth Marketing Manager | Location: Tokyo, JP | YC W17",Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/64674,Hiring a Marketing Manager at a Series B+ AI company. This suggests investment in content and market education.,40,2026-06-13,Low
Klarity,,AI,Series B+,hiring,Hiring: Product Marketing Manager | Location: San Francisco (Klarity HQ) | YC S18,Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/93049,Hiring a Marketing Manager at a Series B+ AI company. This suggests investment in content and market education.,40,2026-06-13,Low
YC S22,,,,hiring,Hiring: Growth Marketer,Growth Marketer,,,,,Hacker News Jobs,https://www.ycombinator.com/companies/emerge-career/jobs/v0S1AEG-founding-growth-marketer,Hiring a Growth Marketer. This suggests investment in content and market education.,30,2026-06-13,Low
D2B,,,,hiring,Hiring: Marketing Manager,Marketing Manager,,,,,Remote OK,https://remoteOK.com/remote-jobs/remote-digital-marketing-manager-dayshift-d2b-1133278,Hiring a Marketing Manager. This suggests investment in content and market education.,30,2026-06-13,Low
Joy,,,Series B+,hiring,Hiring: Digital Marketing Manager | Location: Remote | YC S16,Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/57261,Hiring a Marketing Manager. This suggests investment in content and market education.,20,2026-06-13,Low
Instrumentl,,,Series B+,hiring,Hiring: Senior Content Marketing Manager | Location: Remote (US) | YC S16,Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/96183 | https://www.workatastartup.com/jobs/96175,Hiring a Marketing Manager. This suggests investment in content and market education.,20,2026-06-13,Low
Bunkerhill Health,,,Series B+,hiring,"Hiring: Content Lead | Location: San Francisco, CA, US | YC W19",Content Lead,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/92967,Hiring a Content Lead. This suggests investment in content and market education.,20,2026-06-13,Low
Meridian Industries,,,Series B+,hiring,"Hiring: Videographer at Index (San Francisco) | Location: San Francisco, CA, US | YC S19",Videographer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/78609,Hiring a Videographer. This suggests investment in content and market education.,20,2026-06-13,Low
OneSignal,,,Series B+,hiring,Hiring: Product Marketing Manager | Location: United States - Remote / Remote (US) | YC S11,Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/92756,Hiring a Marketing Manager. This suggests investment in content and market education.,20,2026-06-13,Low
RADAR,,,Series B+,hiring,"Hiring: Senior Product Marketing Manager | Location: New York, New York | YC W13",Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/94737,Hiring a Marketing Manager. This suggests investment in content and market education.,20,2026-06-13,Low
AptDeco,,,Series B+,hiring,Hiring: Marketing Manager | Location: United States - Remote / Remote (US) | YC W14,Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/86422,Hiring a Marketing Manager. This suggests investment in content and market education.,20,2026-06-13,Low
